AccountNumber,Name,LegacyFocalPointUser,LegacyOrgUnit,SuggestedFocalPoint,SuggestedOrgUnit
1788,INL U.S. Department of State’s Bureau of International Narcotics and Law Enforcement Affairs,Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group",Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group"
1898,USMBHC The United States-Mexico Border Health Commission,Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group",Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group"
1917,DND Department of National Defence,Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group",Michael Patrick Ellsworth,"DP, PLG, Partnerships and Liaison Group"
1222,UN WOMEN United Nations Entity for Gender Equality and the Empowerment of Women,Mikaela Solfrid Gerkman,"DP, PLG, Partnerships and Liaison Group",Mikaela Solfrid Gerkman,"DP, PLG, Partnerships and Liaison Group"
,JICA Japón,Mildred TEJADA CANACA,"LCR, CEMCO, Honduras",Mildred TEJADA CANACA,"LCR, CEMCO, Honduras"
1192,UNEP United Nations Environment Programme,Kajsa Johanna HARTMAN,"GPO, GVA, Water, Environment & Climate (WEC)",Noriko   Kominami,"DP, PLG, Partnerships and Liaison Group"
1193,UN-HABITAT United Nations Human Settlements Programme,Kajsa Johanna HARTMAN,"GPO, GVA, Water, Environment & Climate (WEC)",Noriko   Kominami,"DP, PLG, Partnerships and Liaison Group"
,Japan Embassy Conakry,Seynabou DIENG,"AFR, WAMCO, Senegal",Seynabou DIENG,"AFR, WAMCO, Senegal"
,Japan Embassy Guinea,Seynabou DIENG,"AFR, WAMCO, Senegal",Seynabou DIENG,"AFR, WAMCO, Senegal"
,British Virgin Islands,William SQUIER GONZALEZ,"LCR, ICMCO, Costa Rica",William SQUIER GONZALEZ,"LCR, ICMCO, Costa Rica"
,"Ministry of Health, Labour and Welfare (MHLW) Japan",Yuichi SUGAWARA,"DP, PLG, Partnerships and Liaison Group",Yuichi SUGAWARA,"DP, PLG, Partnerships and Liaison Group"
